date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:02	79873/79873	---M--	200	added ('OK')	image/jpeg	etag:%2213801-5c7878244db72%22	https://www.duoback.co.kr/data/editor/108fbd017141a47bfc0e3cc5097ccce31441432.jpg	D:/gowoon/duoback/www.duoback.co.kr/data/editor/108fbd017141a47bfc0e3cc5097ccce31441432.jpg	(from https://www.duoback.co.kr/goods/catalog?code=0011)
21:47:02	106805/106805	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:41%20GMT	https://www.duoback.co.kr/goods/catalog?category=0011	D:/gowoon/duoback/www.duoback.co.kr/goods/catalogefa3.html	(from https://www.duoback.co.kr/goods/catalog?code=0011)
21:47:03	106266/106266	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:42%20GMT	https://www.duoback.co.kr/goods/catalog?category=00110001	D:/gowoon/duoback/www.duoback.co.kr/goods/catalogda1c.html	(from https://www.duoback.co.kr/goods/catalog?code=0011)
21:47:04	106269/106269	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:43%20GMT	https://www.duoback.co.kr/goods/catalog?category=00110002	D:/gowoon/duoback/www.duoback.co.kr/goods/catalogcd2c.html	(from https://www.duoback.co.kr/goods/catalog?code=0011)
21:47:04	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.484.delayed	(from https://www.duoback.co.kr/goods/catalog?code=0011)
21:47:04	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.485.delayed	(from https://www.duoback.co.kr/goods/catalog?code=00110001)
21:47:04	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.486.delayed	(from https://www.duoback.co.kr/goods/catalog?code=00110001)
21:47:04	11305/11305	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Feb%202022%2012:43:44%20GMT	https://www.duoback.co.kr/goods/search_list?page=1&searchMode=best&searchLimit=5&category=c0011&sorting=sale&filter_display=lattice&duobackTopBest=1	D:/gowoon/duoback/www.duoback.co.kr/goods/search_list0d52.html	(from https://www.duoback.co.kr/goods/catalog?code=0011)
21:47:05	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.488.delayed	(from https://www.duoback.co.kr/goods/catalog?code=00110001)
21:47:05	0/-1	---M--	307	error ('')			https://www.duoback.co.kr/main/index	D:/gowoon/duoback/www.duoback.co.kr/main/index.489.delayed	(from https://www.duoback.co.kr/goods/catalog?code=00110002)
